FID,OBJECTID,SHAPE,ZST_ID,ZST_NAME,STR_NR,BETRIEBNAHME,RICHTUNG_1,RICHTUNG_2,LAGE,GERAETEART,GERAETEART_TXT,SE_ANNO_CAD_DATA
DAUERZAEHLOGD.491305,491305,POINT (16.42902276359209 48.266568952151246),1618,Siemensstraße,B229,2010-01-13,Siemensplatz,Leopoldauer Pl.,zw. Richard Neutra-G u. Heinrich v. Buol G.,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491306,491306,POINT (16.38338813782649 48.13683331343697),1622,Himberger Str. II,B16,2010-12-22,Zentrum,Leopoldsdf.,ca. 60m südlich der ON. 69,M_SR,MIV_Seitenradar,
DAUERZAEHLOGD.491307,491307,POINT (16.33839757613888 48.19268236819276),1078,Westbahnhof,B221,1995-05-10,Wienzeile,Stadthalle,R1: bei Mariahilfer Grtl. Hausnr. 21; R2: bei Mariahilfer Grtl. ON. 18,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491308,491308,POINT (16.423220043354263 48.212256594908595),1177,Handelskai,B14,2005-09-23,Klosterneuburg,Freudenau,R1: 30m nach Meiereistraße; R2: 112m nach Meiereistraße,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491309,491309,POINT (16.258615930476058 48.13203329574763),1180,Hochstraße,B13,2005-09-23,Zentrum,Perchtoldsdorf,bei ON. 13,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491310,491310,POINT (16.540165367274813 48.208362081954434),1199,Eßlinger Hauptstraße,B3,2005-09-23,Zentrum,Groß-Enzerdsorf,23m stadtauswärts nach Fellnerg.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491311,491311,POINT (16.46472828907858 48.2256274950422),1215,Erzherzog-Karl-Straße III,B3,2014-12-05,Genochplatz,Siegesplatz,"R1: in EHK-Str. ca. 10m nach Salbeig.,; R2: in EHK-Str. nach Hartlebeng. am Ende der Bushaltestelle",M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491031,491031,POINT (16.379327690110117 48.292890441712906),1194,Prager Straße,B3,2004-03-26,Zentrum,Langenzersdorf,R1: 5m nach Mayerweckstr.; R2: 5m nach Mayerweckstr.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491032,491032,POINT (16.341169494083914 48.1357167907128),1201,Vorarlberger Allee Ost,,2007-04-13,Laxenburger Str.,S1,100m nach Kreisverkehr,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491033,491033,POINT (16.33910131634987 48.13490603122648),1202,Spange Vösendorf,,2007-04-13,Vösendorf,S1,140m nach Kreisverkehr,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491034,491034,POINT (16.31712333188604 48.163829484564324),1207,Altmannsdorfer Straße II,B224,2009-11-01,Vösendorf,Zentrum,im Kreuzungsbereich Hetzendorfer Str.,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491035,491035,POINT (16.338377983455782 48.13636698577153),1200,Vorarlberger Allee West,,2007-04-13,Zentrum,S1,100m nach Kreisverkehr,M_SG,MIV_Scheifengerät,
DAUERZAEHLOGD.491036,491036,POINT (16.315286850633854 48.18748288565047),4004,Linke Wienzeile,,2011-01-26,,,Bereich Schönbrunner Schloßbrücke,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.491037,491037,POINT (16.312293147012525 48.15503519987428),4008,Liesingbach,,2011-01-17,,,Osrambrücke,R_SG,RAD_Scheifengerät,
DAUERZAEHLOGD.491038,491038,POINT (16.367045308706693 48.20070093804925),4011,Operngasse,,2013-06-04,,,Esperantopark,R_SG,RAD_Scheifengerät,
