DATE,ZNR,ZNAME,BEZIRK,BEZIRK_NAME,LONGITUDE,LATITUDE,DTVMS,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet,DTVMS_full_exog,DTVMS_full_noex,DTVMS_full_prophet,DTVMS_ensemble,ISTCOVID19,POP,AUSPENDLER,PKW_DENSITY,CAR,PUBLIC_TRANSPORT,BY_FOOT,BIKE
2024-03-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,21629.0,,,,21629.0,21629.0,21629.0,21629.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2024-04-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,23459.0,,,,23459.0,23459.0,23459.0,23459.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2024-05-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,23310.0,,,,23310.0,23310.0,23310.0,23310.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2024-06-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,24980.0,,,,24980.0,24980.0,24980.0,24980.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2024-07-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,22598.0,,,,22598.0,22598.0,22598.0,22598.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2024-08-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,21580.0,,,,21580.0,21580.0,21580.0,21580.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2024-09-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,24026.0,,,,24026.0,24026.0,24026.0,24026.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2024-10-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,25154.0,,,,25154.0,25154.0,25154.0,25154.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2024-11-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,24395.0,,,,24395.0,24395.0,24395.0,24395.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2024-12-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,21606.0,,,,21606.0,21606.0,21606.0,21606.0,0.0,110832.76,0.1009574891815123,313.85783054679536,0.2514346942927344,0.3041490874491561,0.3526755408593094,0.0917406773987998
2025-01-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,20178.553047937225,20156.09740534964,21819.159792036706,20178.553047937225,20156.09740534964,21819.159792036706,20650.6932129083,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-02-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,21263.705392457545,21352.11351082155,22858.86376184112,21263.705392457545,21352.11351082155,22858.86376184112,21798.32413909221,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-03-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,22584.90975769912,22491.976408192026,24285.225873144816,22584.90975769912,22491.976408192026,24285.225873144816,23026.48916532697,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-04-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,23398.42174455279,22875.78238216601,24305.920270679748,23398.42174455279,22875.78238216601,24305.920270679748,23309.88988731921,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-05-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,23824.40651919937,24136.077603454843,26149.91311286069,23824.40651919937,24136.077603454843,26149.91311286069,24729.080060516088,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-06-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,25210.13321636792,25601.54377299985,27552.95237275269,25210.13321636792,25601.54377299985,27552.95237275269,26174.60360392162,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-07-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,22917.825708910823,23584.67781669212,25893.907275481302,22917.825708910823,23584.67781669212,25893.907275481302,24259.26275268032,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-08-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,21416.74427242356,22147.76097694913,24843.28888051939,21416.74427242356,22147.76097694913,24843.28888051939,22936.020553902912,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-09-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,24219.018412546488,24877.573492501662,26745.354835625643,24219.018412546488,24877.573492501662,26745.354835625643,25421.120290630803,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-10-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,24643.674662762205,25175.82388230441,26515.91311125101,24643.674662762205,25175.82388230441,26515.91311125101,25564.764961994093,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-11-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,23867.026789782336,23886.23783549866,24836.096404504497,23867.026789782336,23886.23783549866,24836.096404504497,24168.167305198487,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2025-12-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,21208.654058933724,21385.44897735173,22552.81125095414,21208.654058933724,21385.44897735173,22552.81125095414,21729.26293926548,0.0,112717.54,0.1007854075737882,312.1139758086844,0.24823774137169388,0.3052285267315092,0.3537965190014752,0.0927372128953215
2026-01-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,19548.2355204504,20119.464707389783,22874.033175655582,19548.2355204504,20119.464707389783,22874.033175655582,20928.05752572071,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2026-02-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,20627.92710446473,21431.36800646423,23954.180872158595,20627.92710446473,21431.36800646423,23954.180872158595,22167.0388445175,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2026-03-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,21883.82205533597,22655.15315776393,25259.429376601354,21883.82205533597,22655.15315776393,25259.429376601354,23415.592401266284,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2026-04-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,23032.43525964534,23160.8592804978,25459.085059139685,23032.43525964534,23160.8592804978,25459.085059139685,23841.570416420014,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2026-05-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,23233.87120488228,24393.584746775563,27463.387671566223,23233.87120488228,24393.584746775563,27463.387671566223,25285.5845719014,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2026-06-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,24701.95836604049,25894.26820952104,28564.01876234741,24701.95836604049,25894.26820952104,28564.01876234741,26666.81763347311,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
2026-07-01,1177,Handelskai,1020.0,Leopoldstadt,16.423220043354263,48.2122565949086,,22362.22383474384,23878.13400071524,26835.297591164526,22362.22383474384,23878.13400071524,26835.297591164526,24730.445370764734,0.0,114172.24,0.100746052670311,311.0803747887568,0.2451790714720492,0.3067082566169081,0.3554834514835276,0.0926292204275149
