ZNR,DATE,forecast,lower_95,upper_95
1617,2028-10-01,14465.786263900227,5218.515389961487,23713.057137838965
1617,2028-11-01,14251.025893520564,4944.497763792457,23557.55402324867
1617,2028-12-01,13413.585090810433,4054.3730722167584,22772.797109404106
1617,2029-01-01,13613.819679377571,3947.6837502154103,23279.955608539734
1617,2029-02-01,14443.71530664066,4527.187555168875,24360.243058112446
1617,2029-03-01,14647.032440082548,4523.586939263576,24770.47794090152
1617,2029-04-01,14765.168165039911,4468.7419042579695,25061.59442582185
1617,2029-05-01,14493.687442515336,4051.099260203051,24936.27562482762
1617,2029-06-01,14827.838284877507,4260.502794119466,25395.17377563555
1617,2029-07-01,13446.682962642517,2771.8542390837283,24121.511686201306
1617,2029-08-01,12833.118245978229,2064.809528211259,23601.426963745198
1617,2029-09-01,14287.286906547524,3436.9612741983165,25137.612538896734
1617,2029-10-01,14668.313208116364,3745.4089957730757,25591.217420459652
1617,2029-11-01,14455.06274263648,3467.397671957913,25442.727813315047
1617,2029-12-01,13618.492692507716,2572.577743151611,24664.40764186382
1617,2030-01-01,13772.406313720567,2433.449619785659,25111.363007655476
1617,2030-02-01,14601.71044903816,3020.1573437996467,26183.263554276673
1617,2030-03-01,14803.816317569173,3019.065708751903,26588.566926386444
1617,2030-04-01,14923.116125587083,2966.3246088549895,26879.907642319176
1617,2030-05-01,14650.392272153462,2546.4585161172854,26754.326028189636
1617,2030-06-01,14984.271506655437,2753.2750365813063,27215.26797672957
1617,2030-07-01,13603.254928263166,1261.5196096111104,25944.990246915222
1617,2030-08-01,12990.142002674082,551.0345574313014,25429.24944791686
1617,2030-09-01,14443.56691961267,1918.1044132345796,26969.02942599076
1617,2030-10-01,14825.369753307954,2222.686978740483,27428.052527875425
1617,2030-11-01,14611.63320410403,1939.3458365398128,27283.920571668248
1617,2030-12-01,13774.785343035677,1039.2746087458563,26510.296077325496
1618,2025-01-01,15787.804706783383,13369.014765450898,18206.594648115868
1618,2025-02-01,16608.810054351896,13495.256408689773,19722.36370001402
1618,2025-03-01,16747.253868077358,13249.185997957786,20245.32173819693
1618,2025-04-01,17064.34491198219,13331.871726418045,20796.818097546333
1618,2025-05-01,16376.763049247471,12494.52538809284,20259.000710402102
1618,2025-06-01,16739.393425968796,12758.530438064692,20720.2564138729
1618,2025-07-01,15588.423277916998,11541.082503544554,19635.764052289443
1618,2025-08-01,14860.729924229468,10767.666449591137,18953.7933988678
1618,2025-09-01,16572.99868255644,12447.88816880221,20698.109196310674
1618,2025-10-01,17515.820281683875,13367.830303137827,21663.810260229922
1618,2025-11-01,17433.33755050454,13268.710761685086,21597.964339323997
1618,2025-12-01,16169.477641729492,11992.528850745912,20346.426432713073
1618,2026-01-01,16285.507435952226,11541.306321651595,21029.708550252857
1618,2026-02-01,17123.032304470602,12031.853019128834,22214.21158981237
1618,2026-03-01,17259.660341772338,11944.89876247452,22574.421921070156
1618,2026-04-01,17615.935350692685,12152.199985469475,23079.670715915898
1618,2026-05-01,16911.4238916857,11345.838240427007,22477.00954294439
1618,2026-06-01,17279.405976701673,11642.624168858903,22916.187784544443
1618,2026-07-01,16138.717174804566,10451.135185186788,21826.299164422344
1618,2026-08-01,15420.25406141,9695.702944198532,21144.805178621467
1618,2026-09-01,17127.84608502357,11375.866502485096,22879.825667562047
1618,2026-10-01,18107.8657529451,12335.1443076016,23880.587198288602
1618,2026-11-01,18024.87141232178,12236.165405175554,23813.577419468005
1618,2026-12-01,16754.309425252373,10953.05199476818,22555.566855736564
1618,2027-01-01,17313.44940419533,11033.25608682299,23593.642721567667
1618,2027-02-01,18148.795903811406,11559.8772697321,24737.71453789071
1618,2027-03-01,18285.638637156255,11490.221848683734,25081.055425628776
1618,2027-04-01,18636.793878610624,11699.355449923762,25574.232307297487
1618,2027-05-01,17934.473083808727,10897.021603832585,24971.92456378487
1618,2027-06-01,18301.7472301409,11192.331722274585,25411.162738007217
1618,2027-07-01,17159.710800188623,9997.444192591527,24321.97740778572
1618,2027-08-01,16440.03871189989,9238.180854273493,23641.89656952629
1618,2027-09-01,18148.234103997238,10916.13676807318,25380.331439921298
1618,2027-10-01,19123.40547309554,11867.765785034691,26379.045161156388
1618,2027-11-01,19040.474172247516,11766.156852311262,26314.79149218377
1618,2027-12-01,17770.782050721435,10481.36744360192,25060.19665784095
1618,2028-01-01,18080.8141924261,10369.93194029432,25791.696444557878
1618,2028-02-01,18916.442532053537,10924.619792769696,26908.26527133738
1618,2028-03-01,19053.255855673488,10868.349580282938,27238.162131064037
1618,2028-04-01,19405.076617355022,11084.080367733175,27726.07286697687
1618,2028-05-01,18702.46963597674,10283.368019986312,27121.57125196717
1618,2028-06-01,19069.835229286604,10578.503423466665,27561.16703510654
1618,2028-07-01,17927.97369370304,9382.374754924182,26473.572632481897
1618,2028-08-01,17208.458563813125,8621.277294087124,25795.639833539128
1618,2028-09-01,18916.57501176253,10296.910131616718,27536.23989190834
1618,2028-10-01,19892.37741107872,11246.849971421945,28537.904850735496
1618,2028-11-01,19809.437662243145,11142.929563786698,28475.945760699593
1618,2028-12-01,18539.63207875783,9855.785991725174,27223.478165790486
1618,2029-01-01,18871.595635360485,9799.386820096539,27943.804450624433
1618,2029-02-01,19707.18715310999,10369.97064573604,29044.40366048394
1618,2029-03-01,19844.004209336388,10320.910755721614,29367.097662951164
1618,2029-04-01,20195.738231673284,10539.12451337357,29852.351949972995
1618,2029-05-01,19493.16845478167,9738.521013757043,29247.815895806296
1618,2029-06-01,19860.522090830986,10032.386223228199,29688.657958433774
1618,2029-07-01,18718.63774169542,8834.298120321182,28602.977363069658
1618,2029-08-01,17999.102141766256,8070.9298240056305,27927.27445952688
