ZNR,DATE,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet
1089,2026-09-01,28434.919448488043,25841.996324967306,26201.452622607947
1089,2026-10-01,28383.620235779556,25542.2726200389,26081.3886175392
1089,2026-11-01,28486.439894418116,25102.782971830664,24997.5429512709
1089,2026-12-01,26073.7978951041,22713.20576394789,22308.805222773997
1089,2027-01-01,28419.061658494233,21481.01035577094,20151.370417086237
1089,2027-02-01,30359.95036158111,23715.925109001553,22617.31478140487
1089,2027-03-01,32054.054898236413,24906.63805530227,23943.277573414616
1089,2027-04-01,32831.88373597109,25283.105401374614,24134.80767186092
1089,2027-05-01,32246.04075792685,25596.247015745317,25298.434554130108
1089,2027-06-01,33356.395321861724,26780.27550768236,26268.886997421385
1089,2027-07-01,29812.771912894386,23412.740573330655,22416.029109837407
1089,2027-08-01,28235.37920078548,21871.005171787718,21386.947731635857
1089,2027-09-01,31690.470705549436,25387.536459137966,25317.07046419049
1089,2027-10-01,31511.54018379553,25086.672261320222,25173.252377816818
1089,2027-11-01,31578.388524401817,24645.865221132466,24142.6909787459
1089,2027-12-01,29157.4161636621,22256.271233603828,21163.699892840574
1089,2028-01-01,32279.017215890926,21024.384843154654,18983.450450105425
1089,2028-02-01,34201.243364647584,23259.420161413913,21231.327800170773
1089,2028-03-01,35772.013549393916,24450.204957533617,22523.85963197014
1089,2028-04-01,36709.24292505899,24826.86099920854,22681.729769852012
1089,2028-05-01,35922.326694677526,25139.841448353396,23703.041871515306
1089,2028-06-01,37023.97527825867,26323.88095067175,25088.285247502132
1089,2028-07-01,33713.91205130998,22956.47909681909,22028.818488944256
1089,2028-08-01,32093.476348531956,21414.724183649865,20385.751422584646
1089,2028-09-01,35397.055808544916,24931.167559672773,23798.436424987536
1089,2028-10-01,35280.72733712435,24630.353939498265,23714.4923876645
1089,2028-11-01,35365.21929730056,24189.60531381809,22511.380764948633
1089,2028-12-01,32948.33290660349,21800.012075903753,20407.530725824807
1089,2029-01-01,34583.450596305775,20568.111988979577,18120.552190960098
1089,2029-02-01,36514.83056612927,22803.141964274175,21027.752289169992
1089,2029-03-01,38146.09518099448,23993.923576337547,21779.463964971073
1089,2029-04-01,39005.13997504467,24370.57125320431,21951.421270367056
1089,2029-05-01,38316.848431330145,24683.558847952285,23025.200266739932
1089,2029-06-01,39422.767222780996,25867.597862447852,24276.4873871839
1089,2029-07-01,35998.14475186667,22500.19010879739,20944.77755553854
1089,2029-08-01,34398.821262765035,20958.43606077452,19499.01494068814
1089,2029-09-01,37776.716066893336,24474.883334330098,23087.935822932184
1089,2029-10-01,37629.68183263723,24174.067471891638,22987.821659639187
1089,2029-11-01,37705.519750410895,23733.316256490834,21846.469772170192
1089,2029-12-01,35286.629226839344,21343.7229853601,19449.550770095062
1089,2030-01-01,36233.7980711429,20111.823505665776,17436.784691029407
1089,2030-02-01,38160.68817111035,22346.85371784176,20122.54871861222
1089,2030-03-01,39762.280792579026,23537.635471071022,21159.72465217176
1089,2030-04-01,40659.674445934565,23914.283518785556,21342.93133743027
1089,2030-05-01,39923.00834863281,24227.270796741934,22464.15333764879
1089,2030-06-01,41026.83264015266,25411.30983286556,23577.092260428304
1089,2030-07-01,37658.40048500424,22043.90234077725,19980.81110597994
1089,2030-08-01,36048.721638168674,20502.148254399337,18739.798988667528
1089,2030-09-01,39390.16541043308,24018.59535516196,22501.289009206677
1089,2030-10-01,39258.19208658315,23717.77959213214,22381.22500414005
1089,2030-11-01,39338.27473711182,23277.02849154407,21297.37933787076
1089,2030-12-01,36920.36722333636,20887.435221885997,18608.641609373517
1096,2025-01-01,23379.99472808483,22013.92814757609,21132.377906421352
1096,2025-02-01,24673.23844196368,23607.8360788493,22748.929455073903
1096,2025-03-01,25752.178412380686,24142.57787042811,22680.833986658283
1096,2025-04-01,26429.085498681758,24535.135061472996,22652.908424060006
1096,2025-05-01,25988.34227638383,24845.86444665239,23738.516384799103
1096,2025-06-01,27006.8751406956,26152.810223976023,25609.933035688515
1096,2025-07-01,23533.177216439683,22999.909383115344,23435.709477573702
1096,2025-08-01,22070.034142535995,21601.315088752264,22483.04604457894
1096,2025-09-01,25240.322241771035,24684.946417996514,24870.303688394906
1096,2025-10-01,25698.226883352036,25013.68146568635,24385.029851826803
1096,2025-11-01,25726.35697017226,24500.202249386584,23433.749828840468
1096,2025-12-01,23329.439521478198,22300.7090554307,21911.976671462176
1096,2026-01-01,24620.279017291963,22052.580039991408,20496.881630853488
1096,2026-02-01,25879.487601479224,23644.065052314985,22106.69845662902
1096,2026-03-01,26728.316723246593,24166.708912495866,21977.581089885312
1096,2026-04-01,27815.473348211322,24453.433452592613,21954.279251386375
1096,2026-05-01,27065.01633276703,24874.199351418654,23068.838858998777
1096,2026-06-01,28078.25228660769,26201.56763328344,24928.970322624336
1096,2026-07-01,24250.982975233754,23138.03056680961,22751.374750075338
1096,2026-08-01,22751.88517510885,21750.52086224308,21820.019944005086
1096,2026-09-01,25964.33397642983,24819.595601220226,24278.636507973195
1096,2026-10-01,26734.629911036987,25079.83676724032,23621.716960479924
1096,2026-11-01,26614.751936638728,24554.247051947204,22786.53909719163
1096,2026-12-01,24292.172167913755,22355.280705876885,21202.06891442791
1096,2027-01-01,26750.379850885016,22101.160652271155,19164.942676402596
1096,2027-02-01,28022.9104999798,23692.460451346164,20765.60312628447
1096,2027-03-01,28961.809842996823,24214.20888737696,20575.693512633476
1096,2027-04-01,29888.386178367073,24493.12686737266,20558.29540157983
1096,2027-05-01,29259.157649265137,24922.006975733413,21701.611228862253
1096,2027-06-01,30274.466925162822,26250.88099250199,23549.321001871293
1096,2027-07-01,26585.592883947364,23193.93415248721,21370.05596449045
1096,2027-08-01,25100.568519146007,21807.241821878168,20460.800767155582
1096,2027-09-01,28296.514735790028,24875.2429916675,22987.205251154282
1096,2027-10-01,28944.534154342255,25130.432833613646,22159.42600302384
1096,2027-11-01,28882.58964504965,24603.949979328707,21441.89398481561
1096,2027-12-01,26530.912546401785,22405.022481715285,19795.37085455183
1096,2028-01-01,29576.41309568842,22150.460597004294,17491.250885856338
1096,2028-02-01,30843.72920865522,23741.746735561213,19080.333264915957
1096,2028-03-01,31747.373174520064,24263.429134988084,18947.10161539599
1096,2028-04-01,32736.80400934987,24541.77139483598,18915.83915730854
1096,2028-05-01,32060.124103441107,24971.24991143856,19972.342360377734
1096,2028-06-01,33074.621837521,26300.234973375365,21853.88136195092
1096,2028-07-01,29331.576979604753,23243.774150707595,19684.719400779126
1096,2028-08-01,27841.043976506713,21857.14209994273,18711.606803551378
1096,2028-09-01,31043.449651545583,24925.064095919162,21023.982628041882
1096,2028-10-01,31739.330667755305,25179.881411765306,20710.962063972707
1096,2028-11-01,31654.70978292261,24653.332690078416,19645.19027095275
1096,2028-12-01,29314.42199059957,22454.408057467866,18186.742061912963
1096,2029-01-01,31419.800273759436,22199.813588504327,16294.449752290193
1096,2029-02-01,32689.15746573449,23791.098719622238,17911.001300942058
1096,2029-03-01,33606.601127002476,24312.776248967803,17842.90583252694
1096,2029-04-01,34571.42939004538,24591.076050486798,17814.980269928594
1096,2029-05-01,33913.32295006691,25020.598698624435,18900.588230667447
1096,2029-06-01,34928.13833866638,26349.591949943315,20772.004881556924
1096,2029-07-01,31206.297076643765,23293.166970183614,18597.78132344207
1096,2029-08-01,29717.920270322502,21906.539364949185,17645.11789044709
1096,2029-09-01,32917.79757761952,24974.455521998854,20032.375534262195
1096,2029-10-01,33594.94455883841,25229.245364712933,19547.101697695158
1096,2029-11-01,33519.199683868006,24702.69178542322,18595.821674708495
1096,2029-12-01,31174.453877737367,22503.767364101495,17074.04851733105
1096,2030-01-01,32985.382488524425,22249.170492107743,15453.09501689737
1096,2030-02-01,34253.940759288555,23840.45554892883,17062.911842673235
1096,2030-03-01,35165.98292981653,24362.132719114634,16933.794475929615
1096,2030-04-01,36140.441156405956,24640.42938940799,16910.492637430667
1096,2030-05-01,35475.06467159686,25069.955292167226,18025.052245043342
1096,2030-06-01,36489.755723542825,26398.949147438354,19885.183708668945
1096,2030-07-01,32759.614928557596,23342.526811028867,17707.588136119673
1096,2030-08-01,31270.394141511933,21955.899533644344,16776.233330049057
1096,2030-09-01,34471.261105069134,25023.815260083622,19234.849894017167
1096,2030-10-01,35155.740981222945,25278.60307670346,18577.93034652449
1096,2030-11-01,35076.52184948977,24752.04913917425,17742.75248323625
1096,2030-12-01,32733.521003635193,22553.124733434703,16158.282300472049
1131,2025-01-01,29717.777584113686,30554.75331331926,29939.179253019007
1131,2025-02-01,31378.52442934162,32028.28763448511,32082.645575200502
1131,2025-03-01,31892.200539729645,33349.31697304198,32685.107619456994
1131,2025-04-01,31642.94952547468,33473.54285132699,31836.085103153848
1131,2025-05-01,32258.11323801653,34057.601128355636,33055.58052946586
1131,2025-06-01,33250.137921085414,35026.78179975315,34202.463071278115
1131,2025-07-01,31167.574321928092,32705.754978492216,31519.805588720305
1131,2025-08-01,30207.63954058046,31490.01440746748,30406.495684460366
1131,2025-09-01,33537.10114095,35779.16308285427,34277.968851479396
1131,2025-10-01,33117.99485239954,35098.72597290182,34103.79035028058
1131,2025-11-01,32725.882082582117,34744.932269196346,33547.5525395967
1131,2025-12-01,32111.459733278276,34352.377548386925,32711.026001823535
1131,2026-01-01,28652.56703423478,31681.564608904708,30202.085969540105
1131,2026-02-01,30375.733280753466,33485.14735645392,32347.40090064952
1131,2026-03-01,30806.20743739872,34578.19576556266,32911.37907058876
1131,2026-04-01,30277.226528900414,34778.00533664163,32101.54782389447
1131,2026-05-01,31153.68696934156,35349.92462643253,33341.92581005926
1131,2026-06-01,32107.20638293977,36412.52862691666,34432.21753358088
1131,2026-07-01,30059.815801111024,34002.07924484635,31757.46831079989
1131,2026-08-01,29108.016691190685,32836.29557226373,30684.39691506565
1131,2026-09-01,32330.033952573107,37097.02057849833,34533.2504897885
1131,2026-10-01,31928.447302640587,36442.35168934967,34355.74115364961
1131,2026-11-01,31593.05234251496,36093.90542351536,33812.91702893362
1131,2026-12-01,30924.320712020515,35712.110741630684,32960.02060063778
1131,2027-01-01,27626.402345611405,32992.64120196342,30321.24187069216
1131,2027-02-01,29359.248243974667,34836.30998576504,32466.74138741586
1131,2027-03-01,29776.849570389786,35900.92250018442,32992.65128550743
1131,2027-04-01,29204.660051612547,36114.037427988886,32223.16304384628
1131,2027-05-01,30121.48576467851,36679.71949044378,33482.659367658904
1131,2027-06-01,31069.058555619577,37754.111203449305,34515.5763842133
1131,2027-07-01,29027.100943453475,35333.18492662427,31851.3467784026
1131,2027-08-01,28076.559398391,34173.822221983544,30818.887781948448
1131,2027-09-01,31281.976349170636,38430.48992739978,34642.67140572939
1131,2027-10-01,30883.096617135438,37779.24136335346,34462.49003020873
1131,2027-11-01,30556.464397874755,37430.30616279827,33933.10858504551
1131,2027-12-01,29879.34210113927,37050.123680353114,33063.96165547385
1131,2028-01-01,26495.984168616604,34326.02543929707,30430.730813129052
1131,2028-02-01,28230.325570020133,36173.469223762426,32574.73497119665
1131,2028-03-01,28645.9380570363,37235.3870637218,33182.10875630127
