ZNR,Public_Transport_Id
1187,3380
1187,3948
1187,3960
1187,4023
1187,4024
1187,4163
1187,4298
1187,4529
1187,4533
1188,7
1188,126
1188,127
1188,278
1188,587
1188,588
1188,589
1188,607
1188,657
1188,674
1188,679
1188,684
1188,857
1188,1209
1188,1210
1188,1229
1188,2171
1188,2172
1188,2177
1188,2178
1188,2179
1188,2181
1188,2184
1188,2185
1188,2187
1188,2188
1188,2693
1188,2694
1188,3364
1188,3366
1188,3372
1188,3373
1188,3374
1188,3378
1188,4023
1188,4024
1188,4073
1188,4093
1188,4162
1188,4163
1188,4298
1188,4301
1188,4529
1189,20
1189,43
1189,90
1189,91
1189,92
1189,268
1189,269
1189,384
1189,417
1189,456
1189,474
1189,635
1189,636
1189,637
1189,833
1189,838
1189,961
1189,962
1189,987
1189,1182
1189,1185
1189,2854
1189,2856
1189,2861
1189,2873
1189,2874
1189,2877
1189,2878
1189,2880
1189,2889
1189,2892
1189,2897
1189,2899
1189,2907
1189,3671
1189,3890
1189,4075
1189,4175
1189,4176
1189,4177
1189,4179
1189,4442
1189,4443
1189,4447
1189,4448
1189,4449
1190,112
1190,930
1190,950
1190,951
1190,952
1190,954
1190,1000
1190,1007
1190,1008
1190,1153
1190,1189
1190,1199
1190,1955
1190,1956
1190,2345
1190,2346
1190,2347
1190,2357
1190,2358
1190,2359
1190,2360
1190,2361
1190,2924
1190,2930
