Id,Name,Latitude,Longitude,Kategorie,Bezirk_Code
1429,Rathaus,48.2092543,16.3538745,Straßenbahn,908
1430,Redtenbachergasse,48.2133131,16.314984,Straßenbahn,916
1431,Familienplatz,48.2135134,16.3196429,Straßenbahn,916
1432,Redtenbachergasse,48.2133479,16.3143729,Straßenbahn,916
1433,Familienplatz,48.2134745,16.3185241,Straßenbahn,916
1434,Zieglergasse/Westbahnstraße,48.2018059,16.3444932,Straßenbahn,907
1435,Zieglergasse/Westbahnstraße,48.2018427,16.3452524,Bus,907
1436,Breitensee,48.1988332,16.3062411,Straßenbahn,914
1437,Breitensee,48.198904,16.3067267,Straßenbahn,914
1438,Geiselbergstraße,48.1747233,16.4060962,Straßenbahn,911
1439,Polkorabplatz,48.17454,16.4115829,Bus,911
1440,Geiselbergstraße,48.1746916,16.4061888,Straßenbahn,911
1441,Am Heidjöchl,48.2371029,16.4877902,Straßenbahn,922
1442,Am Heidjöchl,48.2371546,16.487755,Straßenbahn,922
1443,Spargelfeldstraße,48.2410633,16.473687,Straßenbahn,922
1444,Ziegelhofstraße,48.2399412,16.4781709,Straßenbahn,922
1445,Ziegelhofstraße,48.239925,16.4782021,Straßenbahn,922
1446,Prinzgasse,48.2399857,16.4820548,Straßenbahn,922
1447,Prinzgasse,48.2399847,16.4821957,Straßenbahn,922
1448,Gewerbepark Stadlau,48.2456422,16.4619731,Straßenbahn,922
1449,Gewerbepark Stadlau,48.2456448,16.4623428,Straßenbahn,922
1450,Weinhauser Gasse,48.2298259,16.3324465,Straßenbahn,918
1451,Weinhauser Gasse,48.230091,16.3317763,Straßenbahn,918
1452,Türkenschanzplatz,48.235178,16.3270197,Straßenbahn,918
1453,Türkenschanzplatz,48.2351982,16.3270995,Straßenbahn,918
1454,Aumannplatz,48.2284531,16.3361712,Straßenbahn,918
1455,Oberdöbling,48.2448527,16.3442087,Straßenbahn,919
1456,Oberdöbling,48.2446724,16.3444081,Straßenbahn,919
1457,Schwarzspanierstraße,48.2169589,16.3595371,Straßenbahn,909
1458,Spitalgasse,48.2220509,16.3536233,Straßenbahn,909
1459,Schwarzspanierstraße,48.2175039,16.3589791,Straßenbahn,909
1460,Spitalgasse,48.2224226,16.3529948,Straßenbahn,909
1461,Sensengasse,48.2209134,16.3552525,Straßenbahn,909
1462,Gersthof,48.2315532,16.3289951,Straßenbahn,918
1463,Liechtenwerder Platz,48.2325243,16.3566104,Straßenbahn,909
1464,Laurenzgasse,48.1858766,16.362968,Straßenbahn,905
1465,Flurschützstraße/Längenfeldgasse,48.1795009,16.3405357,Straßenbahn,912
1466,Marx-Meidlinger-Straße,48.1805635,16.3444807,Straßenbahn,912
1467,Aßmayergasse,48.1788397,16.3380417,Straßenbahn,912
1468,Kaiserstraße/Westbahnstraße,48.2018644,16.3407745,Bus,907
1469,Urban-Loritz-Platz,48.2006752,16.3369957,Straßenbahn,915
1470,Huglgasse,48.198013,16.3251593,Straßenbahn,915
1471,Schweglerstraße,48.1984799,16.3289827,Bus,915
1472,Johnstraße,48.1990376,16.3194948,Straßenbahn,915
1473,Beingasse,48.1995089,16.3325752,Straßenbahn,915
1474,Huglgasse,48.19778,16.3252366,Straßenbahn,915
1475,Beingasse,48.1992792,16.3318583,Straßenbahn,915
1476,Schweglerstraße,48.1984588,16.3287946,Bus,915
1477,Kaiserstraße/Westbahnstraße,48.2018092,16.340158,Straßenbahn,907
1478,Johnstraße,48.1990059,16.3195138,Straßenbahn,915
1479,Urban-Loritz-Platz,48.2012557,16.3376029,Straßenbahn,907
1480,Rampengasse,48.2408231,16.360505,Straßenbahn,919
1481,Rampengasse,48.2407364,16.3603846,Straßenbahn,919
1482,Spittelau,48.2360538,16.3568526,Straßenbahn,909
1483,Spittelau,48.2359567,16.3567705,Straßenbahn,909
1484,Rodaun,48.134332,16.2613189,Bus,923
1485,Brigittaplatz,48.2325184,16.3704021,Straßenbahn,920
