ZNR,DATE,DTVMS,ISTCOVID19,BEZIRK,AUSPENDLER,POP,PKW_DENSITY,BICYCLE,BIKESHARING,BY_FOOT,CAR,CARSHARING,MOTORBIKE,PUBLIC_TRANSPORT,DTVMS_fc_exog,DTVMS_fc_noex,DTVMS_fc_prophet,DTVMS_full_exog,DTVMS_full_noex,DTVMS_full_prophet
1075,2021-03-01,33469.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,33469.0,33469.0,33469.0
1075,2021-04-01,30379.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,30379.0,30379.0,30379.0
1075,2021-05-01,37237.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,37237.0,37237.0,37237.0
1075,2021-06-01,43760.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,43760.0,43760.0,43760.0
1075,2021-07-01,40095.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,40095.0,40095.0,40095.0
1075,2021-08-01,36349.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,36349.0,36349.0,36349.0
1075,2021-09-01,39823.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,39823.0,39823.0,39823.0
1075,2021-10-01,37714.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,37714.0,37714.0,37714.0
1075,2021-11-01,34084.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,34084.0,34084.0,34084.0
1075,2021-12-01,29195.0,1.0,1220.0,0.108,198806.0,428.31,0.094188376753507,0.0,0.345691382765531,0.2585170340681362,0.001002004008016,0.0040080160320641,0.2965931863727454,,,,29195.0,29195.0,29195.0
