ds,traffic_real,traffic_forecast_without_corona,delta,delta_percent,znr
2020-04-06,33528,42365,-8837,-20.86,1608
2020-04-07,33578,43492,-9914,-22.79,1608
2020-04-08,33578,43504,-9926,-22.82,1608
2020-04-09,33578,43444,-9866,-22.71,1608
2020-04-10,31688,44162,-12474,-28.25,1608
2020-04-11,23040,33904,-10864,-32.04,1608
2020-04-12,17880,30802,-12922,-41.95,1608
2020-04-13,33528,42285,-8757,-20.71,1608
2020-04-14,33578,43352,-9774,-22.55,1608
2020-04-15,33578,43306,-9728,-22.46,1608
2020-04-16,33578,43195,-9617,-22.26,1608
2020-04-17,31688,43868,-12180,-27.77,1608
2020-04-18,23040,33573,-10533,-31.37,1608
2020-04-19,17880,30444,-12564,-41.27,1608
2020-04-20,33528,41911,-8383,-20.0,1608
2020-04-21,33578,42973,-9395,-21.86,1608
2020-04-22,33578,42934,-9356,-21.79,1608
2020-04-23,33578,42841,-9263,-21.62,1608
2020-04-24,31688,43543,-11855,-27.23,1608
2020-04-25,23040,33288,-10248,-30.79,1608
2020-04-26,17880,30207,-12327,-40.81,1608
2020-04-27,33528,41729,-8201,-19.65,1608
2020-04-28,33578,42852,-9274,-21.64,1608
2020-04-29,33578,42877,-9299,-21.69,1608
2020-04-30,33578,42849,-9271,-21.64,1608
2020-05-01,43546,43615,-69,-0.16,1608
2020-05-02,34122,33420,702,2.1,1608
2020-05-03,28653,30395,-1742,-5.73,1608
2020-05-04,42254,41964,290,0.69,1608
2020-05-05,43674,43125,549,1.27,1608
2020-05-06,43674,43176,498,1.15,1608
2020-05-07,43674,43162,512,1.19,1608
2020-05-08,43546,43929,-383,-0.87,1608
2020-05-09,34122,33720,402,1.19,1608
2020-05-10,28653,30666,-2013,-6.56,1608
2020-05-11,42254,42193,61,0.14,1608
2020-05-12,43674,43298,376,0.87,1608
2020-05-13,43674,43281,393,0.91,1608
2020-05-14,43674,43188,486,1.13,1608
2020-05-15,43546,43867,-321,-0.73,1608
2020-05-16,34122,33562,560,1.67,1608
2020-05-17,28653,30409,-1756,-5.77,1608
2020-05-18,42254,41833,421,1.01,1608
2020-05-19,43674,42836,838,1.96,1608
2020-05-20,43674,42720,954,2.23,1608
2020-05-21,43674,42533,1141,2.68,1608
2020-05-22,43546,43124,422,0.98,1608
2020-05-23,34122,32743,1379,4.21,1608
2020-05-24,28653,29523,-870,-2.95,1608
2020-05-25,42254,40895,1359,3.32,1608
2020-05-26,43674,41859,1815,4.34,1608
2020-05-27,43674,41719,1955,4.69,1608
2020-05-28,43674,41523,2151,5.18,1608
2020-05-29,43546,42120,1426,3.39,1608
2020-05-30,34122,31758,2364,7.44,1608
2020-05-31,28653,28571,82,0.29,1608
2020-06-01,47766,39988,7778,19.45,1608
2020-06-02,49593,41005,8588,20.94,1608
2020-06-03,49593,40927,8666,21.17,1608
2020-06-04,49593,40798,8795,21.56,1608
2020-06-05,48632,41465,7167,17.28,1608
2020-06-06,39385,31173,8212,26.34,1608
2020-06-07,33905,28054,5851,20.86,1608
2020-06-08,47766,39533,8233,20.83,1608
2020-06-09,49593,40607,8986,22.13,1608
2020-06-10,49593,40575,9018,22.23,1608
2020-06-11,49593,40481,9112,22.51,1608
2020-06-12,48632,41171,7461,18.12,1608
2020-06-13,39385,30890,8495,27.5,1608
2020-06-14,33905,27766,6139,22.11,1608
2020-06-15,47766,39227,8539,21.77,1608
2020-06-16,49593,40269,9324,23.15,1608
2020-06-17,49593,40192,9401,23.39,1608
2020-06-18,49593,40041,9552,23.86,1608
2020-06-19,48632,40665,7967,19.59,1608
2020-06-20,39385,30309,9076,29.94,1608
2020-06-21,33905,27105,6800,25.09,1608
2020-06-22,47766,38482,9284,24.13,1608
2020-06-23,49593,39440,10153,25.74,1608
2020-06-24,49593,39281,10312,26.25,1608
2020-06-25,49593,39054,10539,26.99,1608
2020-06-26,48632,39608,9024,22.78,1608
2020-06-27,39385,29192,10193,34.92,1608
2020-06-28,33905,25940,7965,30.71,1608
2020-06-29,47766,37283,10483,28.12,1608
2020-06-30,49593,38221,11372,29.75,1608
2020-07-01,46125,38058,8067,21.2,1608
2020-07-02,46125,37843,8282,21.89,1608
2020-07-03,47174,38424,8750,22.77,1608
2020-07-04,37436,28049,9387,33.47,1608
2020-07-05,33608,24853,8755,35.23,1608
2020-07-06,45351,36263,9088,25.06,1608
2020-07-07,46125,37276,8849,23.74,1608
2020-07-08,46125,37196,8929,24.01,1608
2020-07-09,46125,37066,9059,24.44,1608
2020-07-10,47174,37734,9440,25.02,1608
2020-07-11,37436,27443,9993,36.41,1608
2020-07-12,33608,24323,9285,38.17,1608
2020-07-13,45351,35799,9552,26.68,1608
2020-07-14,46125,36866,9259,25.12,1608
2020-07-15,46125,36823,9302,25.26,1608
2020-07-16,46125,36712,9413,25.64,1608
2020-07-17,47174,37378,9796,26.21,1608
2020-07-18,37436,27063,10373,38.33,1608
2020-07-19,33608,23895,9713,40.65,1608
2020-07-20,45351,35301,10050,28.47,1608
2020-07-21,46125,36273,9852,27.16,1608
2020-07-22,46125,36114,10011,27.72,1608
2020-07-23,46125,35866,10259,28.6,1608
2020-07-24,47174,36377,10797,29.68,1608
2020-07-25,37436,25891,11545,44.59,1608
2020-07-26,33608,22542,11066,49.09,1608
2020-07-27,45351,33759,11592,34.34,1608
2020-07-28,46125,34539,11586,33.54,1608
2020-07-29,46125,34190,11935,34.91,1608
2020-07-30,46125,33757,12368,36.64,1608
2020-07-31,47174,34095,13079,38.36,1608
2020-08-01,39253,23453,15800,67.37,1608
2020-08-02,35443,19968,15475,77.5,1608
2020-08-03,46847,31073,15774,50.76,1608
2020-08-04,47320,31771,15549,48.94,1608
2020-08-05,47320,31370,15950,50.84,1608
2020-08-06,47320,30921,16399,53.04,1608
2020-08-07,48258,31278,16980,54.29,1608
2020-08-08,39253,20693,18560,89.69,1608
2020-08-09,35443,17302,18141,104.85,1608
2020-08-10,46847,28537,18310,64.16,1608
2020-08-11,47320,29400,17920,60.95,1608
2020-08-12,47320,29198,18122,62.07,1608
2020-08-13,47320,28978,18342,63.3,1608
2020-08-14,48258,29589,18669,63.09,1608
2020-08-15,39253,19279,19974,103.6,1608
2020-08-16,35443,16180,19263,119.05,1608
2020-08-17,46847,27719,19128,69.01,1608
2020-08-18,47320,28893,18427,63.78,1608
2020-08-19,47320,29001,18319,63.17,1608
2020-08-20,47320,29085,18235,62.7,1608
2020-08-21,48258,29990,18268,60.91,1608
2020-08-22,39253,19959,19294,96.67,1608
2020-08-23,35443,17117,18326,107.06,1608
2020-08-24,46847,28888,17959,62.17,1608
2020-08-25,47320,30265,17055,56.35,1608
2020-08-26,47320,30544,16776,54.92,1608
2020-08-27,47320,30766,16554,53.81,1608
2020-08-28,48258,31773,16485,51.88,1608
2020-08-29,39253,21808,17445,79.99,1608
2020-08-30,35443,18998,16445,86.56,1608
2020-08-31,46847,30766,16081,52.27,1608
2020-09-01,51440,32108,19332,60.21,1608
2020-09-02,51440,32323,19117,59.14,1608
2020-09-03,51440,32454,18986,58.5,1608
2020-09-04,52504,33349,19155,57.44,1608
2020-09-05,43334,23254,20080,86.35,1608
2020-09-06,38744,20301,18443,90.85,1608
2020-09-07,49438,31918,17520,54.89,1608
2020-09-08,51440,33105,18335,55.38,1608
2020-09-09,51440,33168,18272,55.09,1608
2020-09-10,51440,33153,18287,55.16,1608
2020-09-11,52504,33913,18591,54.82,1608
2020-09-12,43334,23697,19637,82.87,1608
2020-09-13,38744,20641,18103,87.7,1608
2020-09-14,49438,32176,17262,53.65,1608
2020-09-15,51440,33305,18135,54.45,1608
2020-09-16,51440,33332,18108,54.33,1608
2020-09-17,51440,33307,18133,54.44,1608
2020-09-18,52504,34081,18423,54.06,1608
2020-09-19,43334,23903,19431,81.29,1608
2020-09-20,38744,20907,17837,85.32,1608
2020-09-21,49438,32521,16917,52.02,1608
2020-09-22,51440,33746,17694,52.43,1608
2020-09-23,51440,33883,17557,51.82,1608
2020-09-24,51440,33977,17463,51.4,1608
2020-09-25,52504,34876,17628,50.54,1608
2020-09-26,43334,24825,18509,74.56,1608
2020-09-27,38744,21953,16791,76.49,1608
2020-09-28,49438,33686,15752,46.76,1608
2020-09-29,51440,35019,16421,46.89,1608
2020-09-30,51440,35250,16190,45.93,1608
2020-10-01,51047,35423,15624,44.11,1608
2020-10-02,52732,36381,16351,44.94,1608
2020-10-03,42918,26369,16549,62.76,1608
2020-10-04,36531,23513,13018,55.37,1608
2020-10-05,49770,35239,14531,41.24,1608
2020-10-06,51047,36543,14504,39.69,1608
2020-10-07,51047,36724,14323,39.0,1608
2020-10-08,51047,36825,14222,38.62,1608
2020-10-09,52732,37693,15039,39.9,1608
2020-10-10,42918,27574,15344,55.65,1608
2020-10-11,36531,24600,11931,48.5,1608
2020-10-12,49770,36198,13572,37.49,1608
2020-10-13,51047,37367,13680,36.61,1608
2020-10-14,51047,37411,13636,36.45,1608
2020-10-15,51047,37378,13669,36.57,1608
2020-10-16,52732,38117,14615,38.34,1608
2020-10-17,42918,27877,15041,53.95,1608
2020-10-18,36531,24795,11736,47.33,1608
2020-10-19,49770,36300,13470,37.11,1608
